year,month,region,actual_revenue,actual_units,revenue,units,revenue_variance_pct,units_variance_pct,status
2026,7,EAST,3227537.3985,1071,3172271,1054,1.74217141284588,1.6129032258064515,At / Above
2026,7,METRO,3456875.9545,1172,3104003,1054,11.36831873229504,11.195445920303605,At / Above
2026,7,NORTH,3060403.6475,1011,2739888,899,11.698129540331575,12.458286985539488,At / Above
2026,7,SOUTH,3002720.9445,1004,3207621,1076,-6.387913519084698,-6.691449814126393,Below
2026,7,WEST,3088596.8315,1065,3309255,1139,-6.667910707999238,-6.4969271290605795,Below
2026,8,CENTRAL,3082785.1785,1136,3391959,1253,-9.114904440177494,-9.337589784517158,Below
2026,8,EAST,3085869.682,1023,2778483,919,11.063111849163736,11.31664853101197,At / Above
2026,8,METRO,3185279.1935,1149,3068260,1109,3.8138617164125614,3.606853020739405,At / Above
2026,8,NORTH,2926762.615,1097,2768773,1034,5.706123795630781,6.09284332688588,At / Above
2026,8,SOUTH,3284732.7205,1172,3067200,1087,7.092224846765774,7.8196872125115,At / Above
2026,8,WEST,2752030.2600000002,987,2388409,860,15.224413406581547,14.767441860465116,At / Above
2026,9,CENTRAL,1427866.4865,452,1383464,437,3.2095151373653463,3.4324942791762014,At / Above
2026,9,EAST,1430548.1025,463,1478694,479,-3.2559743598066917,-3.3402922755741122,Below
2026,9,METRO,1251603.0155,474,1160997,443,7.804155867758484,6.997742663656885,At / Above
2026,9,NORTH,1259864.2719999999,434,1443090,498,-12.69676375000867,-12.851405622489958,Below
2026,9,SOUTH,1284538.2685,455,1218311,429,5.435990358783595,6.0606060606060606,At / Above
2026,9,WEST,1378448.909,438,1347366,427,2.306938797624401,2.576112412177986,At / Above
