order_id,order_date_raw,order_timestamp_raw,store_id,product_id,channel_raw,payment_raw,quantity,unit_price_raw,discount_pct,shipping_days,rating,returned_raw,status_raw,customer_segment,promo_code,tags,channel,payment,status,unit_price,returned,order_date,year,month,day_name,is_weekend,gross_revenue,net_revenue,order_size,service_fee,high_value,revenue_per_unit,revenue_cliped
ORD-0000011,08/03/2025,2025-03-08 08:43:03,S09,P010,Web,UPI,1, 3919 ,10,4,2.9,No,Completed,New,SAVE5,,Web,UPI,Completed,3919.0,False,2025-03-08,2025,3,Saturday,True,3919.0,3527.1,Standard,0,No,3527.1,3527.1
ORD-0000012,"Jan 30, 2026",30/01/2026 10:33:24,S16,P081,Web,UPI,3,Rs.5497.84,20,5,,N,Shipped,Regular,NONE,gift,Web,UPI,Shipped,5497.84,False,2026-01-30,2026,1,Friday,False,16493.52,13194.816,High,0,Yes,4398.272,13194.816
ORD-0000013,2025-08-19,2025-08-19 10:09:57,S14,P106,Store,UPI,1,INR 5830.04,0,6,,N,Completed,New,SAVE5,express,Store,UPI,Completed,5830.04,False,2025-08-19,2025,8,Tuesday,False,5830.04,5830.04,Standard,25,No,5830.04,5830.04
ORD-0000014,07/04/2026,07/04/2026 09:10:35,S01,P016, APP,UPI,2,247.85,10,4,4.2,No,Completed,New,BULK10,sale|app,App,UPI,Completed,247.85,False,2026-04-07,2026,4,Tuesday,False,495.7,446.13,Low,10,No,223.065,446.13
ORD-0000015,"Jul 30, 2026",2026-07-30 15:42:40,S07,P112, APP, upi ,2, 2968 ,0,,,No,Shipped,Regular,NONE,,App,UPI,Shipped,2968.0,False,2026-07-30,2026,7,Thursday,False,5936.0,5936.0,Standard,10,No,2968.0,5936.0
ORD-0000016,2025-11-26,26/11/2025 11:11:51,S22,P026,App,card,2,Rs.1833.51,0,4,4.5,No,Completed ,New,SAVE5,express,App,Card,Completed,1833.51,False,2025-11-26,2025,11,Wednesday,False,3667.02,3667.02,Standard,10,No,1833.51,3667.02
ORD-0000017,05/03/2025,2025-03-05 21:31:26,S13,P116,App,card,4,INR 5698.27,0,4,4.1,No,Completed,Regular,APPONLY,gift,App,Card,Completed,5698.27,False,2025-03-05,2025,3,Wednesday,False,22793.08,22793.08,Premium,10,Yes,5698.27,22793.08
ORD-0000018,"Oct 23, 2025",23/10/2025 21:02:31,S10,P079, WEB ,UPI,3,1378.51,10,3,3.6,Y,Completed,Business,NONE,express,Web,UPI,Completed,1378.51,True,2025-10-23,2025,10,Thursday,False,4135.53,3721.977,Standard,0,No,1240.6589999999999,3721.977
ORD-0000019,2025-03-18,2025-03-18 10:21:16,S11,P055,App,Wallet,1, 1184 ,0,,,No,Processing,Regular,NONE,,App,Wallet,Processing,1184.0,False,2025-03-18,2025,3,Tuesday,False,1184.0,1184.0,Low,10,No,1184.0,1184.0
ORD-0000020,06/10/2025,06/10/2025 19:36:15,S18,P114,Store,UPI,1,Rs.3409.27,0,3,3.6,No,Shipped,Premium,NONE,gift|express,Store,UPI,Shipped,3409.27,False,2025-10-06,2025,10,Monday,False,3409.27,3409.27,Standard,25,No,3409.27,3409.27
ORD-0000021,"Feb 07, 2025",2025-02-07 08:32:55,S15,P024, APP,card,1,INR 3536.95,0,2,,No,Processing,Regular,FESTIVE,new|web,App,Card,Processing,3536.95,False,2025-02-07,2025,2,Friday,False,3536.95,3536.95,Standard,10,No,3536.95,3536.95
ORD-0000022,2026-02-02,02/02/2026 12:00:41,S09,P040,web,UPI,5,5359.05,15,4,4.1,No,Completed,Regular,FESTIVE,express,Web,UPI,Completed,5359.05,False,2026-02-02,2026,2,Monday,False,26795.25,22775.962499999998,Premium,0,Yes,4555.192499999999,22775.962499999998
ORD-0000023,12/07/2025,2025-07-12 17:14:07,S14,P072,Store,UPI,2, 1938 ,10,5,4.2,Yes,Completed,Regular,NONE,new|web,Store,UPI,Completed,1938.0,True,2025-07-12,2025,7,Saturday,True,3876.0,3488.4,Standard,25,No,1744.2,3488.4
ORD-0000024,"May 05, 2025",05/05/2025 10:53:24,S13,P015,Web,UPI,4,Rs.4347.24,25,3,,No,Completed,Premium,SAVE5,,Web,UPI,Completed,4347.24,False,2025-05-05,2025,5,Monday,False,17388.96,13041.72,High,0,Yes,3260.43,13041.72
ORD-0000025,2025-01-11,2025-01-11 09:05:46,S04,P020,App,UPI,1,INR 738.06,15,7,4.2,No,Shipped,Regular,NONE,express,App,UPI,Shipped,738.06,False,2025-01-11,2025,1,Saturday,True,738.06,627.3509999999999,Low,10,No,627.3509999999999,627.3509999999999
ORD-0000026,05/07/2026,05/07/2026 10:11:49,S12,P092,Web,COD,2,3776.41,25,9,5.0,Y,Processing,New,FESTIVE,bulk|priority,Web,COD,Processing,3776.41,True,2026-07-05,2026,7,Sunday,True,7552.82,5664.615,Standard,0,No,2832.3075,5664.615
ORD-0000027,"Jun 04, 2026",2026-06-04 17:13:39,S05,P017,Store,UPI,2, 6467 ,15,3,3.9,No,Completed,Regular,FESTIVE,,Store,UPI,Completed,6467.0,False,2026-06-04,2026,6,Thursday,False,12934.0,10993.9,High,25,Yes,5496.95,10993.9
ORD-0000028,2026-05-19,19/05/2026 11:05:01,S02,P025,App,Card,2,Rs.3227.04,20,8,5.0,Y,Shipped,Regular,FESTIVE,,App,Card,Shipped,3227.04,True,2026-05-19,2026,5,Tuesday,False,6454.08,5163.264,Standard,10,No,2581.632,5163.264
ORD-0000029,06/02/2025,2025-02-06 11:26:22,S23,P108,Web,COD,1,INR 3515.85,10,5,3.9,No,Completed,Regular,NONE,express,Web,COD,Completed,3515.85,False,2025-02-06,2025,2,Thursday,False,3515.85,3164.265,Standard,0,No,3164.265,3164.265
ORD-0000030,"Aug 05, 2025",05/08/2025 10:52:25,S10,P012,App,COD,5,6041.91,15,5,5.0,No,Completed,Regular,FESTIVE,sale|app,App,COD,Completed,6041.91,False,2025-08-05,2025,8,Tuesday,False,30209.55,25678.1175,Premium,10,Yes,5135.6235,25678.1175
ORD-0000031,2026-08-26,2026-08-26 20:20:10,S20,P076,web, upi ,4, 1289 ,25,0,4.6,No,Shipped,Regular,APPONLY,express,Web,UPI,Shipped,1289.0,False,2026-08-26,2026,8,Wednesday,False,5156.0,3867.0,Standard,0,No,966.75,3867.0
ORD-0000032,25/12/2025,25/12/2025 20:26:25,S06,P083,App,UPI,4,Rs.3090.13,0,2,3.5,No,Completed,Regular,APPONLY,express,App,UPI,Completed,3090.13,False,2025-12-25,2025,12,Thursday,False,12360.52,12360.52,High,10,Yes,3090.13,12360.52
ORD-0000033,"Mar 21, 2025",2025-03-21 19:16:22,S04,P011,Web,card,1,INR 1249.78,0,3,3.3,Yes,Completed,Regular,NONE,,Web,Card,Completed,1249.78,True,2025-03-21,2025,3,Friday,False,1249.78,1249.78,Low,0,No,1249.78,1249.78
ORD-0000034,2025-03-29,29/03/2025 08:16:35,S15,P066,Web,Card,4,4515.53,5,0,3.8,No,Cancelled,Premium,NONE,,Web,Card,Cancelled,4515.53,False,2025-03-29,2025,3,Saturday,True,18062.12,17159.014,Premium,0,Yes,4289.7535,17159.014
ORD-0000035,13/06/2025,2025-06-13 11:30:18,S06,P050,web,Wallet,4, 5793 ,15,3,3.8,Yes,Completed,New,NONE,gift,Web,Wallet,Completed,5793.0,True,2025-06-13,2025,6,Friday,False,23172.0,19696.2,Premium,0,Yes,4924.05,19696.2
ORD-0000036,"Aug 26, 2026",26/08/2026 20:19:21,S24,P053,Web,COD,4,Rs.1633.52,0,6,2.4,No,Completed,Regular,NONE,,Web,COD,Completed,1633.52,False,2026-08-26,2026,8,Wednesday,False,6534.08,6534.08,High,0,No,1633.52,6534.08
ORD-0000037,2025-04-16,2025-04-16 15:45:52,S06,P039, WEB ,card,3,INR 4744.44,10,3,4.5,No,Processing,New,FESTIVE,express,Web,Card,Processing,4744.44,False,2025-04-16,2025,4,Wednesday,False,14233.32,12809.988,High,0,Yes,4269.996,12809.988
ORD-0000038,14/07/2026,14/07/2026 08:34:24,S19,P007,App,UPI,4,2258.15,10,5,,No,Shipped,Premium,NONE,,App,UPI,Shipped,2258.15,False,2026-07-14,2026,7,Tuesday,False,9032.6,8129.34,High,10,No,2032.335,8129.34
ORD-0000039,"Feb 25, 2026",2026-02-25 11:29:11,S05,P061,Store,UPI,2, 5520 ,10,3,3.9,No,Completed ,Regular,NONE,express,Store,UPI,Completed,5520.0,False,2026-02-25,2026,2,Wednesday,False,11040.0,9936.0,High,25,No,4968.0,9936.0
ORD-0000040,2026-07-26,26/07/2026 19:34:44,S22,P002,App,COD,1,Rs.4747.02,10,7,3.2,No,Shipped,New,BULK10,sale|app,App,COD,Shipped,4747.02,False,2026-07-26,2026,7,Sunday,True,4747.02,4272.318,Standard,10,No,4272.318,4272.318
ORD-0000041,28/05/2026,2026-05-28 20:18:15,S17,P051,STORE ,Card,1,INR 2413.38,10,3,4.7,No,Completed ,New,NONE,express,Store,Card,Completed,2413.38,False,2026-05-28,2026,5,Thursday,False,2413.38,2172.0420000000004,Standard,25,No,2172.0420000000004,2172.0420000000004
ORD-0000042,"Jul 25, 2025",25/07/2025 13:57:10,S12,P050,Store,Card,1,7939.04,25,7,4.4,Y,Completed,Regular,NONE,,Store,Card,Completed,7939.04,True,2025-07-25,2025,7,Friday,False,7939.04,5954.28,Standard,25,No,5954.28,5954.28
ORD-0000044,15/04/2025,15/04/2025 09:04:14,S02,P073,Store,Card,2,Rs.868.38,10,5,,No,Shipped,Business,NONE,,Store,Card,Shipped,868.38,False,2025-04-15,2025,4,Tuesday,False,1736.76,1563.084,Low,25,No,781.542,1563.084
ORD-0000045,"Jun 30, 2025",2025-06-30 11:09:00,S13,P091,Web,UPI,4,INR 4260.75,20,3,3.5,No,Completed,New,FESTIVE,sale|app,Web,UPI,Completed,4260.75,False,2025-06-30,2025,6,Monday,False,17043.0,13634.400000000001,High,0,Yes,3408.6000000000004,13634.400000000001
ORD-0000046,2025-05-12,12/05/2025 19:11:06,S06,P106,web,UPI,4,6452.92,30,5,4.8,No,Completed,Regular,NONE,gift|express,Web,UPI,Completed,6452.92,False,2025-05-12,2025,5,Monday,False,25811.68,18068.176,Premium,0,Yes,4517.044,18068.176
ORD-0000048,"Feb 25, 2025",25/02/2025 11:35:15,S12,P072,Store,UPI,2,Rs.1736.78,25,4,3.5,No,Processing,Premium,NONE,gift,Store,UPI,Processing,1736.78,False,2025-02-25,2025,2,Tuesday,False,3473.56,2605.17,Standard,25,No,1302.585,2605.17
ORD-0000049,2025-04-27,2025-04-27 21:40:23,S04,P063,Web,UPI,3,INR 3589.97,25,4,3.3,No,CANCELLED,New,APPONLY,new|web,Web,UPI,Cancelled,3589.97,False,2025-04-27,2025,4,Sunday,True,10769.91,8077.4325,High,0,No,2692.4775,8077.4325
ORD-0000050,16/03/2025,16/03/2025 20:17:30,S09,P059,App,Wallet,4,6356.10,0,4,3.8,N,Shipped,Regular,APPONLY,,App,Wallet,Shipped,6356.1,False,2025-03-16,2025,3,Sunday,True,25424.4,25424.4,Premium,10,Yes,6356.1,25424.4
ORD-0000051,"Aug 24, 2025",2025-08-24 21:49:16,S05,P072,Web,UPI,3, 1778 ,30,3,,N,Completed,Premium,FESTIVE,express,Web,UPI,Completed,1778.0,False,2025-08-24,2025,8,Sunday,True,5334.0,3733.7999999999997,Standard,0,No,1244.6,3733.7999999999997
ORD-0000052,2025-02-14,14/02/2025 18:31:11,S12,P022,Web,UPI,3,Rs.3346.93,20,3,5.0,No,Shipped,New,FESTIVE,sale|app,Web,UPI,Shipped,3346.93,False,2025-02-14,2025,2,Friday,False,10040.789999999999,8032.632,High,0,No,2677.544,8032.632
ORD-0000053,07/02/2025,2025-02-07 16:01:04,S15,P004,Store,Card,4,INR 2706.25,15,3,3.6,No,Shipped,Regular,NONE,,Store,Card,Shipped,2706.25,False,2025-02-07,2025,2,Friday,False,10825.0,9201.25,High,25,No,2300.3125,9201.25
ORD-0000054,"Sep 06, 2026",06/09/2026 21:44:04,S21,P019,Web, upi ,5,5474.23,5,3,5.0,Yes,Completed,Business,NONE,gift|express,Web,UPI,Completed,5474.23,True,2026-09-06,2026,9,Sunday,True,27371.149999999998,26002.592499999995,Premium,0,Yes,5200.518499999999,26002.592499999995
ORD-0000055,2025-02-24,2025-02-24 17:38:54,S05,P021, APP,Card,5, 3619 ,25,4,4.7,N,Completed,Regular,BULK10,gift|express,App,Card,Completed,3619.0,False,2025-02-24,2025,2,Monday,False,18095.0,13571.25,High,10,Yes,2714.25,13571.25
ORD-0000056,15/02/2025,15/02/2025 19:38:59,S01,P074,App,UPI,4,Rs.5527.01,15,8,4.0,No,Shipped,New,NONE,,App,UPI,Shipped,5527.01,False,2025-02-15,2025,2,Saturday,True,22108.04,18791.834,Premium,10,Yes,4697.9585,18791.834
ORD-0000057,"Jan 19, 2025",2025-01-19 13:38:38,S15,P013,App,COD,2,INR 3924.51,15,4,5.0,No,Processing,Regular,SAVE5,gift|express,App,COD,Processing,3924.51,False,2025-01-19,2025,1,Sunday,True,7849.02,6671.667,High,10,No,3335.8335,6671.667
ORD-0000058,2025-03-24,24/03/2025 11:22:27,S06,P043, WEB ,COD,2,1415.99,10,6,4.4,No,Processing,New,NONE,,Web,COD,Processing,1415.99,False,2025-03-24,2025,3,Monday,False,2831.98,2548.782,Standard,0,No,1274.391,2548.782
ORD-0000059,24/11/2025,2025-11-24 16:01:48,S13,P013,App,UPI,1, 3608 ,30,5,3.8,No,CANCELLED,Premium,NONE,express,App,UPI,Cancelled,3608.0,False,2025-11-24,2025,11,Monday,False,3608.0,2525.6,Standard,10,No,2525.6,2525.6
ORD-0000060,"May 28, 2026",28/05/2026 13:43:49,S24,P019,Web,COD,3,Rs.4840.68,10,10,,No,Completed,New,FESTIVE,,Web,COD,Completed,4840.68,False,2026-05-28,2026,5,Thursday,False,14522.04,13069.836000000001,High,0,Yes,4356.612,13069.836000000001
ORD-0000061,2026-04-01,2026-04-01 12:54:26,S10,P078,web,UPI,2,INR 5475.17,5,6,5.0,No,Shipped,Regular,FESTIVE,,Web,UPI,Shipped,5475.17,False,2026-04-01,2026,4,Wednesday,False,10950.34,10402.823,High,0,Yes,5201.4115,10402.823
ORD-0000062,26/12/2025,26/12/2025 17:45:44,S15,P048,App,Card,5,5995.41,0,6,2.3,No,Shipped,Premium,BULK10,bulk|priority,App,Card,Shipped,5995.41,False,2025-12-26,2025,12,Friday,False,29977.05,29977.05,Premium,10,Yes,5995.41,27294.975
ORD-0000063,"Feb 22, 2025",2025-02-22 16:32:05,S22,P098,STORE ,UPI,5, 880 ,10,4,,No,Processing,Premium,NONE,,Store,UPI,Processing,880.0,False,2025-02-22,2025,2,Saturday,True,4400.0,3960.0,Standard,25,No,792.0,3960.0
ORD-0000064,2026-04-26,26/04/2026 12:25:09,S09,P089, WEB ,Card,2,Rs.914.33,5,6,4.4,No,Processing,New,NONE,express,Web,Card,Processing,914.33,False,2026-04-26,2026,4,Sunday,True,1828.66,1737.227,Low,0,No,868.6135,1737.227
ORD-0000065,24/01/2025,2025-01-24 11:22:50,S04,P030,Store,UPI,4,INR 256.64,0,5,5.0,No,Completed,New,SAVE5,new|web,Store,UPI,Completed,256.64,False,2025-01-24,2025,1,Friday,False,1026.56,1026.56,Low,25,No,256.64,1026.56
ORD-0000066,"Jan 27, 2026",27/01/2026 15:39:30,S05,P010,web,Card,2,4062.76,20,5,4.1,N,Completed,Regular,BULK10,gift,Web,Card,Completed,4062.76,False,2026-01-27,2026,1,Tuesday,False,8125.52,6500.416000000001,High,0,No,3250.2080000000005,6500.416000000001
ORD-0000067,2025-09-11,2025-09-11 12:34:48,S01,P116,App,Card,4, 5042 ,25,8,4.0,No,Completed,New,NONE,bulk|priority,App,Card,Completed,5042.0,False,2025-09-11,2025,9,Thursday,False,20168.0,15126.0,Premium,10,Yes,3781.5,15126.0
ORD-0000068,01/07/2026,01/07/2026 11:19:34,S11,P016,Store,UPI,4,Rs.234.77,25,3,4.0,No,Shipped,Regular,NONE,,Store,UPI,Shipped,234.77,False,2026-07-01,2026,7,Wednesday,False,939.08,704.3100000000001,Low,25,No,176.07750000000001,704.3100000000001
ORD-0000069,"Jul 10, 2025",2025-07-10 11:06:07,S20,P082,Store,Card,1,INR 6860.70,10,6,,Yes,Processing,New,NONE,new|web,Store,Card,Processing,6860.7,True,2025-07-10,2025,7,Thursday,False,6860.7,6174.63,High,25,No,6174.63,6174.63
ORD-0000070,2026-01-31,31/01/2026 17:16:09,S20,P071,STORE ,Wallet,3,6269.15,0,1,4.5,No,Completed,New,FESTIVE,express,Store,Wallet,Completed,6269.15,False,2026-01-31,2026,1,Saturday,True,18807.449999999997,18807.449999999997,Premium,25,Yes,6269.149999999999,18807.449999999997
ORD-0000071,30/09/2025,2025-09-30 13:48:31,S06,P099,Store,UPI,1, 6514 ,5,6,,Y,Completed,New,FESTIVE,express,Store,UPI,Completed,6514.0,True,2025-09-30,2025,9,Tuesday,False,6514.0,6188.299999999999,High,25,No,6188.299999999999,6188.299999999999
ORD-0000072,"Nov 20, 2025",20/11/2025 12:47:06,S24,P067,Web,UPI,2,Rs.2729.73,10,5,2.3,No,Completed,Business,SAVE5,,Web,UPI,Completed,2729.73,False,2025-11-20,2025,11,Thursday,False,5459.46,4913.514,Standard,0,No,2456.757,4913.514
ORD-0000073,2026-08-06,2026-08-06 09:36:50,S11,P001,App,Card,2,INR 3605.21,0,5,3.8,No,Shipped,Regular,APPONLY,gift|express,App,Card,Shipped,3605.21,False,2026-08-06,2026,8,Thursday,False,7210.42,7210.42,High,10,No,3605.21,7210.42
ORD-0000074,18/03/2026,18/03/2026 08:46:15,S07,P019,STORE ,card,3,5229.48,5,6,5.0,N,CANCELLED,Premium,FESTIVE,gift|express,Store,Card,Cancelled,5229.48,False,2026-03-18,2026,3,Wednesday,False,15688.439999999999,14904.017999999998,High,25,Yes,4968.005999999999,14904.017999999998
ORD-0000075,"Sep 15, 2025",2025-09-15 17:43:41,S04,P100,Store,UPI,1, 2500 ,15,7,5.0,N,Shipped,Premium,NONE,gift,Store,UPI,Shipped,2500.0,False,2025-09-15,2025,9,Monday,False,2500.0,2125.0,Standard,25,No,2125.0,2125.0
ORD-0000076,2025-10-05,05/10/2025 21:32:15,S20,P073,web,Card,2,Rs.740.81,30,4,4.9,No,Completed,Regular,NONE,gift|express,Web,Card,Completed,740.81,False,2025-10-05,2025,10,Sunday,True,1481.62,1037.1339999999998,Low,0,No,518.5669999999999,1037.1339999999998
ORD-0000077,13/03/2026,2026-03-13 12:32:46,S21,P093,Web,UPI,2,INR 1333.96,0,4,,Yes,CANCELLED,New,NONE,express,Web,UPI,Cancelled,1333.96,True,2026-03-13,2026,3,Friday,False,2667.92,2667.92,Standard,0,No,1333.96,2667.92
ORD-0000078,"Aug 03, 2025",03/08/2025 19:48:16,S01,P076,Store,Card,1,1190.93,5,5,,No,Processing,Regular,BULK10,,Store,Card,Processing,1190.93,False,2025-08-03,2025,8,Sunday,True,1190.93,1131.3835,Low,25,No,1131.3835,1131.3835
ORD-0000079,2025-04-15,2025-04-15 16:25:31,S15,P118,Store,Card,1, 5441 ,20,3,4.6,No,Shipped,Regular,FESTIVE,express,Store,Card,Shipped,5441.0,False,2025-04-15,2025,4,Tuesday,False,5441.0,4352.8,Standard,25,No,4352.8,4352.8
ORD-0000080,17/10/2025,17/10/2025 12:15:15,S19,P010,Store,COD,2,Rs.3801.66,30,5,3.9,No,Completed,New,NONE,,Store,COD,Completed,3801.66,False,2025-10-17,2025,10,Friday,False,7603.32,5322.324,Standard,25,No,2661.162,5322.324
ORD-0000081,"Feb 12, 2025",2025-02-12 15:56:52,S24,P010,App,UPI,5,INR 4073.56,0,4,4.6,N,Completed,Regular,APPONLY,,App,UPI,Completed,4073.56,False,2025-02-12,2025,2,Wednesday,False,20367.8,20367.8,Premium,10,Yes,4073.56,20367.8
ORD-0000082,2025-04-16,16/04/2025 09:48:32,S21,P088,Web,UPI,2,4670.10,0,6,4.3,No,Shipped,Regular,BULK10,bulk|priority,Web,UPI,Shipped,4670.1,False,2025-04-16,2025,4,Wednesday,False,9340.2,9340.2,High,0,No,4670.1,9340.2
ORD-0000083,18/09/2025,2025-09-18 12:43:31,S12,P006,Store,UPI,2, 2964 ,0,4,4.9,No,Completed,New,FESTIVE,sale|app,Store,UPI,Completed,2964.0,False,2025-09-18,2025,9,Thursday,False,5928.0,5928.0,Standard,25,No,2964.0,5928.0
ORD-0000084,"May 09, 2026",09/05/2026 18:17:17,S08,P014,web,COD,4,Rs.2136.45,25,4,,No,Completed,Business,APPONLY,gift,Web,COD,Completed,2136.45,False,2026-05-09,2026,5,Saturday,True,8545.8,6409.349999999999,High,0,No,1602.3374999999999,6409.349999999999
ORD-0000085,2026-04-30,2026-04-30 19:54:10,S24,P088,Web,Card,2,INR 4600.75,15,5,3.3,Yes,Completed,New,APPONLY,new|web,Web,Card,Completed,4600.75,True,2026-04-30,2026,4,Thursday,False,9201.5,7821.275,High,0,No,3910.6375,7821.275
ORD-0000086,11/06/2025,11/06/2025 11:05:46,S17,P092,Store, upi ,1,3435.46,20,1,5.0,No,Cancelled,Regular,APPONLY,express,Store,UPI,Cancelled,3435.46,False,2025-06-11,2025,6,Wednesday,False,3435.46,2748.3680000000004,Standard,25,No,2748.3680000000004,2748.3680000000004
ORD-0000087,"Sep 19, 2025",2025-09-19 20:45:03,S07,P102,Store,Card,3, 3042 ,5,3,,No,Completed,Premium,NONE,express,Store,Card,Completed,3042.0,False,2025-09-19,2025,9,Friday,False,9126.0,8669.699999999999,High,25,No,2889.8999999999996,8669.699999999999
ORD-0000088,2025-04-06,06/04/2025 16:28:03,S24,P030,Store,UPI,3,Rs.280.74,25,7,4.6,No,Completed,New,SAVE5,,Store,UPI,Completed,280.74,False,2025-04-06,2025,4,Sunday,True,842.22,631.665,Low,25,No,210.55499999999998,631.665
ORD-0000089,14/04/2026,2026-04-14 11:12:39,S12,P081,STORE ,Card,4,INR 5018.93,15,0,2.5,No,Completed,Regular,NONE,,Store,Card,Completed,5018.93,False,2026-04-14,2026,4,Tuesday,False,20075.72,17064.362,Premium,25,Yes,4266.0905,17064.362
ORD-0000090,"Jun 02, 2025",02/06/2025 18:54:37,S16,P028, WEB ,card,3,2894.38,15,5,4.5,No,Completed,Regular,SAVE5,gift|express,Web,Card,Completed,2894.38,False,2025-06-02,2025,6,Monday,False,8683.14,7380.668999999999,High,0,No,2460.2229999999995,7380.668999999999
ORD-0000091,2026-05-11,2026-05-11 20:20:19,S12,P120,App,Card,4, 724 ,0,6,4.2,Yes,Completed ,Regular,NONE,sale|app,App,Card,Completed,724.0,True,2026-05-11,2026,5,Monday,False,2896.0,2896.0,Standard,10,No,724.0,2896.0
ORD-0000092,07/06/2026,07/06/2026 11:48:46,S15,P081,Store,UPI,5,Rs.5572.81,10,3,2.7,Y,Completed,Regular,SAVE5,sale|app,Store,UPI,Completed,5572.81,True,2026-06-07,2026,6,Sunday,True,27864.050000000003,25077.645000000004,Premium,25,Yes,5015.529,25077.645000000004
ORD-0000093,"Mar 04, 2026",2026-03-04 09:28:03,S12,P093,Web,COD,3,INR 1468.01,10,4,4.0,No,Completed,New,NONE,,Web,COD,Completed,1468.01,False,2026-03-04,2026,3,Wednesday,False,4404.03,3963.627,Standard,0,No,1321.209,3963.627
ORD-0000094,2025-07-24,24/07/2025 11:59:26,S02,P080,App,card,2,2010.30,10,,,Y,CANCELLED,New,NONE,express,App,Card,Cancelled,2010.3,True,2025-07-24,2025,7,Thursday,False,4020.6,3618.54,Standard,10,No,1809.27,3618.54
ORD-0000095,14/08/2026,2026-08-14 18:35:54,S14,P119,App,Wallet,1, 238 ,5,5,,No,Completed,Regular,FESTIVE,gift,App,Wallet,Completed,238.0,False,2026-08-14,2026,8,Friday,False,238.0,226.1,Low,10,No,226.1,226.1
ORD-0000096,"Mar 02, 2026",02/03/2026 08:51:19,S06,P033,App,COD,1,Rs.1089.35,25,3,4.7,No,Completed,Business,NONE,,App,COD,Completed,1089.35,False,2026-03-02,2026,3,Monday,False,1089.35,817.0124999999999,Low,10,No,817.0124999999999,817.0124999999999
ORD-0000097,2026-02-05,2026-02-05 12:02:47,S02,P092,web,UPI,5,INR 3547.56,0,4,4.9,No,Completed,Business,NONE,express,Web,UPI,Completed,3547.56,False,2026-02-05,2026,2,Thursday,False,17737.8,17737.8,Premium,0,Yes,3547.56,17737.8
ORD-0000098,15/06/2026,15/06/2026 12:28:18,S07,P116,Web,Card,5,5449.96,0,4,5.0,N,Cancelled,Regular,NONE,gift|express,Web,Card,Cancelled,5449.96,False,2026-06-15,2026,6,Monday,False,27249.8,27249.8,Premium,0,Yes,5449.96,27249.8
