campaign_id,product_id,campaign_start,campaign_end,promo_code,promo_type,campaign_discount_pct
CMP-P022-3,P022,2026-05-17,2026-07-17,PROMO_01,Bundle,15
CMP-P023-1,P023,2025-01-01,2025-02-22,PROMO_02,Percent,25
CMP-P023-2,P023,2025-09-02,2025-10-07,PROMO_08,Percent,25
CMP-P023-3,P023,2026-01-01,2026-02-13,PROMO_01,AppPush,20
CMP-P024-1,P024,2025-01-11,2025-03-24,PROMO_07,Bundle,5
CMP-P024-2,P024,2025-05-06,2025-07-26,PROMO_05,AppPush,15
CMP-P024-3,P024,2026-05-03,2026-07-26,PROMO_07,Seasonal,25
CMP-P025-1,P025,2025-01-09,2025-04-07,PROMO_05,Seasonal,25
CMP-P025-2,P025,2025-05-02,2025-06-25,PROMO_06,Seasonal,5
CMP-P025-3,P025,2026-05-06,2026-07-10,PROMO_07,Percent,20
CMP-P026-1,P026,2025-01-06,2025-03-27,PROMO_01,Seasonal,5
CMP-P026-2,P026,2025-09-14,2025-11-07,PROMO_04,Percent,20
CMP-P026-3,P026,2026-01-03,2026-03-15,PROMO_06,Seasonal,20
CMP-P027-1,P027,2025-01-17,2025-03-01,PROMO_05,Percent,5
CMP-P027-2,P027,2025-09-14,2025-10-26,PROMO_06,AppPush,5
CMP-P027-3,P027,2026-05-04,2026-07-21,PROMO_05,Percent,25
CMP-P028-1,P028,2025-01-18,2025-03-25,PROMO_05,Bundle,5
CMP-P028-2,P028,2026-01-11,2026-04-05,PROMO_01,Seasonal,15
CMP-P028-3,P028,2026-05-10,2026-06-23,PROMO_05,Percent,10
CMP-P029-1,P029,2025-01-06,2025-02-28,PROMO_06,Seasonal,25
CMP-P029-2,P029,2025-09-04,2025-10-09,PROMO_01,AppPush,5
CMP-P029-3,P029,2026-05-05,2026-07-25,PROMO_07,Seasonal,10
CMP-P030-1,P030,2025-01-08,2025-03-25,PROMO_06,AppPush,20
CMP-P030-2,P030,2025-05-14,2025-07-19,PROMO_03,Seasonal,20
CMP-P030-3,P030,2025-09-18,2025-10-31,PROMO_04,Seasonal,15
CMP-P031-1,P031,2025-01-10,2025-03-09,PROMO_04,Seasonal,5
CMP-P031-2,P031,2025-09-14,2025-12-06,PROMO_06,Bundle,5
CMP-P031-3,P031,2026-05-13,2026-07-12,PROMO_02,Bundle,25
CMP-P032-1,P032,2025-01-16,2025-04-15,PROMO_08,Percent,10
CMP-P032-2,P032,2026-01-07,2026-03-08,PROMO_08,AppPush,20
CMP-P032-3,P032,2026-05-16,2026-07-25,PROMO_04,Bundle,15
CMP-P033-1,P033,2025-01-15,2025-04-12,PROMO_05,Bundle,5
CMP-P033-2,P033,2025-09-15,2025-12-08,PROMO_06,Seasonal,25
CMP-P033-3,P033,2026-01-15,2026-03-18,PROMO_01,Percent,10
CMP-P034-1,P034,2025-05-18,2025-08-15,PROMO_04,Seasonal,20
CMP-P034-2,P034,2025-09-17,2025-12-09,PROMO_06,Bundle,20
CMP-P034-3,P034,2026-05-06,2026-06-29,PROMO_05,AppPush,15
CMP-P035-1,P035,2025-01-17,2025-03-20,PROMO_04,Percent,5
CMP-P035-2,P035,2025-05-07,2025-07-01,PROMO_03,Bundle,20
CMP-P035-3,P035,2026-01-03,2026-02-25,PROMO_02,Bundle,20
CMP-P036-1,P036,2025-01-05,2025-02-19,PROMO_01,Bundle,20
CMP-P036-2,P036,2025-05-11,2025-08-02,PROMO_03,Bundle,15
CMP-P036-3,P036,2026-05-04,2026-07-31,PROMO_02,Bundle,15
CMP-P037-1,P037,2025-01-01,2025-02-05,PROMO_04,Percent,25
CMP-P037-2,P037,2025-05-05,2025-07-14,PROMO_06,Bundle,25
CMP-P037-3,P037,2025-09-02,2025-10-19,PROMO_03,Percent,10
CMP-P038-1,P038,2025-01-17,2025-02-26,PROMO_08,AppPush,25
CMP-P038-2,P038,2025-05-07,2025-08-02,PROMO_05,Percent,15
CMP-P038-3,P038,2026-01-03,2026-03-30,PROMO_03,Percent,15
CMP-P039-1,P039,2025-01-12,2025-03-10,PROMO_05,AppPush,5
CMP-P039-2,P039,2025-05-02,2025-06-19,PROMO_04,Percent,5
CMP-P039-3,P039,2026-05-16,2026-07-10,PROMO_05,AppPush,20
CMP-P040-1,P040,2025-05-08,2025-06-18,PROMO_07,Percent,20
CMP-P040-2,P040,2025-09-01,2025-10-17,PROMO_05,Seasonal,15
CMP-P040-3,P040,2026-05-03,2026-06-19,PROMO_08,AppPush,5
CMP-P041-1,P041,2025-01-04,2025-03-15,PROMO_04,Percent,15
CMP-P041-2,P041,2025-05-04,2025-06-21,PROMO_08,AppPush,5
CMP-P041-3,P041,2026-01-16,2026-03-23,PROMO_07,AppPush,10
CMP-P042-1,P042,2025-05-05,2025-06-25,PROMO_02,Percent,25
CMP-P042-2,P042,2025-09-02,2025-11-24,PROMO_01,Seasonal,10
CMP-P042-3,P042,2026-01-10,2026-03-01,PROMO_04,Bundle,15
CMP-P043-1,P043,2025-05-03,2025-06-26,PROMO_02,Percent,25
CMP-P043-2,P043,2025-09-02,2025-11-02,PROMO_07,Seasonal,5
CMP-P043-3,P043,2026-05-03,2026-06-27,PROMO_05,Seasonal,10
CMP-P044-1,P044,2025-01-03,2025-02-15,PROMO_08,Percent,10
CMP-P044-2,P044,2025-05-17,2025-07-24,PROMO_01,Bundle,25
CMP-P044-3,P044,2026-05-08,2026-07-11,PROMO_05,AppPush,5
CMP-P045-1,P045,2025-01-14,2025-03-10,PROMO_04,Seasonal,5
CMP-P045-2,P045,2025-09-15,2025-12-09,PROMO_06,Bundle,15
CMP-P045-3,P045,2026-01-01,2026-03-28,PROMO_03,Percent,20
CMP-P046-1,P046,2025-01-15,2025-04-05,PROMO_02,Percent,25
CMP-P046-2,P046,2025-05-10,2025-07-08,PROMO_03,AppPush,20
CMP-P046-3,P046,2025-09-01,2025-11-05,PROMO_08,Bundle,10
CMP-P047-1,P047,2025-01-03,2025-03-02,PROMO_02,Seasonal,20
CMP-P047-2,P047,2025-05-09,2025-07-04,PROMO_02,Seasonal,20
CMP-P047-3,P047,2025-09-06,2025-11-02,PROMO_06,AppPush,15
CMP-P048-1,P048,2025-01-09,2025-03-18,PROMO_08,AppPush,10
CMP-P048-2,P048,2025-09-11,2025-10-25,PROMO_01,AppPush,25
CMP-P048-3,P048,2026-01-16,2026-03-24,PROMO_01,Seasonal,15
CMP-P049-1,P049,2025-01-18,2025-03-18,PROMO_05,Seasonal,20
CMP-P049-2,P049,2026-01-04,2026-02-24,PROMO_03,Seasonal,20
CMP-P049-3,P049,2026-05-07,2026-07-21,PROMO_06,Bundle,15
CMP-P050-1,P050,2025-01-10,2025-03-25,PROMO_08,Bundle,15
CMP-P050-2,P050,2025-09-04,2025-11-13,PROMO_04,Bundle,20
CMP-P050-3,P050,2026-01-08,2026-03-09,PROMO_04,Bundle,5
CMP-P051-1,P051,2025-01-12,2025-03-28,PROMO_06,Bundle,5
CMP-P051-2,P051,2025-05-16,2025-07-07,PROMO_07,Percent,5
CMP-P051-3,P051,2025-09-15,2025-12-10,PROMO_07,Seasonal,10
CMP-P052-1,P052,2025-01-05,2025-03-23,PROMO_02,Bundle,10
CMP-P052-2,P052,2025-09-06,2025-11-17,PROMO_08,Seasonal,20
CMP-P052-3,P052,2026-01-04,2026-04-01,PROMO_05,AppPush,20
CMP-P053-1,P053,2025-09-05,2025-10-26,PROMO_06,Percent,10
CMP-P053-2,P053,2026-01-13,2026-04-11,PROMO_05,Bundle,15
CMP-P053-3,P053,2026-05-13,2026-07-16,PROMO_01,AppPush,15
CMP-P054-1,P054,2025-09-08,2025-10-22,PROMO_08,Seasonal,25
CMP-P054-2,P054,2026-01-06,2026-02-27,PROMO_07,AppPush,20
CMP-P054-3,P054,2026-05-09,2026-07-07,PROMO_06,Seasonal,10
CMP-P055-1,P055,2025-01-17,2025-03-10,PROMO_07,Seasonal,25
CMP-P055-2,P055,2025-09-01,2025-11-15,PROMO_08,Seasonal,10
CMP-P055-3,P055,2026-05-14,2026-06-23,PROMO_04,AppPush,15
CMP-P056-1,P056,2025-01-06,2025-02-26,PROMO_03,Bundle,15
CMP-P056-2,P056,2025-09-07,2025-11-03,PROMO_03,Percent,20
CMP-P056-3,P056,2026-01-15,2026-03-06,PROMO_07,AppPush,5
CMP-P057-1,P057,2025-01-15,2025-02-26,PROMO_07,Percent,5
CMP-P057-2,P057,2025-05-13,2025-07-29,PROMO_05,Percent,5
CMP-P057-3,P057,2026-05-08,2026-07-06,PROMO_08,Bundle,5
CMP-P058-1,P058,2025-01-12,2025-04-05,PROMO_08,Bundle,25
CMP-P058-2,P058,2025-09-12,2025-10-20,PROMO_08,Percent,15
CMP-P058-3,P058,2026-05-15,2026-07-02,PROMO_03,Bundle,25
CMP-P059-1,P059,2025-01-15,2025-03-22,PROMO_02,Percent,15
CMP-P059-2,P059,2025-09-10,2025-11-14,PROMO_02,AppPush,10
CMP-P059-3,P059,2026-05-13,2026-07-30,PROMO_06,Percent,25
CMP-P060-1,P060,2025-01-02,2025-03-15,PROMO_06,Percent,25
CMP-P060-2,P060,2026-01-06,2026-02-27,PROMO_03,Bundle,5
CMP-P060-3,P060,2026-05-08,2026-06-23,PROMO_01,Bundle,20
CMP-P061-1,P061,2025-05-15,2025-08-07,PROMO_07,Seasonal,15
CMP-P061-2,P061,2025-09-08,2025-10-30,PROMO_02,AppPush,20
CMP-P061-3,P061,2026-05-15,2026-06-28,PROMO_04,Percent,25
CMP-P062-1,P062,2025-01-02,2025-02-23,PROMO_02,Bundle,15
CMP-P062-2,P062,2025-09-06,2025-10-14,PROMO_05,Percent,10
CMP-P062-3,P062,2026-01-01,2026-02-09,PROMO_04,Seasonal,20
CMP-P063-1,P063,2025-01-15,2025-03-09,PROMO_02,Percent,5
CMP-P063-2,P063,2025-05-02,2025-07-23,PROMO_03,Seasonal,15
CMP-P063-3,P063,2026-01-10,2026-03-11,PROMO_07,Percent,5
CMP-P064-1,P064,2025-05-05,2025-06-27,PROMO_07,Percent,15
CMP-P064-2,P064,2025-09-10,2025-11-25,PROMO_06,Bundle,10
CMP-P064-3,P064,2026-01-07,2026-03-05,PROMO_02,AppPush,10
CMP-P065-1,P065,2025-05-02,2025-06-24,PROMO_02,Percent,5
CMP-P065-2,P065,2026-01-01,2026-03-22,PROMO_01,Bundle,20
CMP-P065-3,P065,2026-05-18,2026-08-07,PROMO_02,Seasonal,20
CMP-P066-1,P066,2025-01-16,2025-04-13,PROMO_08,Seasonal,25
CMP-P066-2,P066,2025-05-09,2025-06-23,PROMO_05,Percent,15
CMP-P066-3,P066,2026-05-12,2026-08-07,PROMO_03,Bundle,20
CMP-P067-1,P067,2025-01-15,2025-03-11,PROMO_06,Bundle,5
CMP-P067-2,P067,2025-09-10,2025-10-17,PROMO_08,AppPush,10
CMP-P067-3,P067,2026-01-09,2026-03-19,PROMO_03,Bundle,15
CMP-P068-1,P068,2025-01-11,2025-02-23,PROMO_04,Seasonal,10
CMP-P068-2,P068,2026-01-03,2026-03-07,PROMO_02,Bundle,15
CMP-P068-3,P068,2026-05-11,2026-07-20,PROMO_06,Seasonal,5
CMP-P069-1,P069,2025-01-17,2025-04-04,PROMO_06,Seasonal,5
CMP-P069-2,P069,2025-05-16,2025-08-07,PROMO_01,Bundle,25
CMP-P069-3,P069,2026-05-09,2026-07-29,PROMO_08,Bundle,5
CMP-P070-1,P070,2025-01-04,2025-02-24,PROMO_06,Percent,10
CMP-P070-2,P070,2025-05-17,2025-06-26,PROMO_04,Percent,5
CMP-P070-3,P070,2025-09-08,2025-11-10,PROMO_02,Percent,5
CMP-P071-1,P071,2025-01-07,2025-02-24,PROMO_01,AppPush,10
CMP-P071-2,P071,2025-05-07,2025-06-25,PROMO_08,AppPush,15
CMP-P071-3,P071,2026-01-04,2026-03-24,PROMO_08,Percent,25
CMP-P072-1,P072,2025-01-03,2025-03-04,PROMO_05,Bundle,5
CMP-P072-2,P072,2025-09-04,2025-11-24,PROMO_08,Seasonal,5
CMP-P072-3,P072,2026-01-15,2026-03-29,PROMO_05,Percent,25
CMP-P073-1,P073,2025-01-06,2025-03-07,PROMO_08,Percent,15
CMP-P073-2,P073,2025-05-17,2025-08-04,PROMO_08,Percent,25
CMP-P073-3,P073,2026-05-18,2026-07-09,PROMO_04,AppPush,15
CMP-P074-1,P074,2025-01-08,2025-03-27,PROMO_05,Bundle,5
CMP-P074-2,P074,2026-01-12,2026-03-05,PROMO_02,Percent,25
CMP-P074-3,P074,2026-05-02,2026-07-19,PROMO_07,Percent,15
CMP-P075-1,P075,2025-05-08,2025-07-26,PROMO_06,Bundle,25
CMP-P075-2,P075,2026-01-15,2026-04-11,PROMO_06,Bundle,20
CMP-P075-3,P075,2026-05-06,2026-06-24,PROMO_04,Seasonal,15
CMP-P076-1,P076,2025-05-10,2025-07-04,PROMO_03,Seasonal,10
CMP-P076-2,P076,2026-01-02,2026-02-26,PROMO_05,Percent,10
CMP-P076-3,P076,2026-05-03,2026-07-04,PROMO_06,Seasonal,10
CMP-P077-1,P077,2025-01-14,2025-03-19,PROMO_03,AppPush,25
CMP-P077-2,P077,2025-09-18,2025-12-13,PROMO_02,AppPush,5
CMP-P077-3,P077,2026-01-13,2026-04-12,PROMO_01,AppPush,25
CMP-P078-1,P078,2025-01-11,2025-04-09,PROMO_01,AppPush,5
CMP-P078-2,P078,2025-05-17,2025-07-28,PROMO_08,AppPush,5
CMP-P078-3,P078,2025-09-01,2025-10-24,PROMO_06,Percent,25
CMP-P079-1,P079,2025-01-01,2025-03-08,PROMO_07,Seasonal,10
CMP-P079-2,P079,2025-05-16,2025-08-07,PROMO_08,Bundle,25
CMP-P079-3,P079,2026-05-11,2026-06-18,PROMO_03,AppPush,5
CMP-P080-1,P080,2025-01-10,2025-02-27,PROMO_08,Percent,25
CMP-P080-2,P080,2025-05-15,2025-08-05,PROMO_07,Percent,25
CMP-P080-3,P080,2026-01-11,2026-04-08,PROMO_08,AppPush,10
CMP-P081-1,P081,2025-01-09,2025-02-26,PROMO_05,AppPush,25
CMP-P081-2,P081,2025-05-14,2025-07-21,PROMO_08,Bundle,25
CMP-P081-3,P081,2026-01-07,2026-02-18,PROMO_04,Percent,5
CMP-P082-1,P082,2025-05-06,2025-07-18,PROMO_03,AppPush,25
CMP-P082-2,P082,2025-09-02,2025-10-08,PROMO_08,AppPush,15
CMP-P082-3,P082,2026-01-09,2026-03-08,PROMO_06,AppPush,5
CMP-P083-1,P083,2025-01-12,2025-02-23,PROMO_01,AppPush,15
CMP-P083-2,P083,2025-05-18,2025-07-20,PROMO_08,Percent,15
CMP-P083-3,P083,2025-09-03,2025-11-08,PROMO_02,Bundle,10
CMP-P084-1,P084,2025-01-08,2025-02-24,PROMO_07,Bundle,25
CMP-P084-2,P084,2025-09-05,2025-10-14,PROMO_05,AppPush,25
CMP-P084-3,P084,2026-01-16,2026-04-09,PROMO_06,Bundle,15
CMP-P085-1,P085,2025-01-10,2025-03-06,PROMO_08,Bundle,25
CMP-P085-2,P085,2025-05-12,2025-06-18,PROMO_02,AppPush,15
CMP-P085-3,P085,2026-05-06,2026-07-08,PROMO_08,Bundle,5
CMP-P086-1,P086,2025-01-03,2025-02-22,PROMO_01,Percent,25
CMP-P086-2,P086,2026-01-17,2026-03-01,PROMO_06,AppPush,5
CMP-P086-3,P086,2026-05-17,2026-08-07,PROMO_05,AppPush,10
CMP-P087-1,P087,2025-05-18,2025-07-07,PROMO_03,Seasonal,5
CMP-P087-2,P087,2025-09-10,2025-10-30,PROMO_02,Seasonal,5
CMP-P087-3,P087,2026-05-02,2026-07-13,PROMO_07,Percent,20
CMP-P088-1,P088,2025-01-16,2025-03-11,PROMO_08,AppPush,5
CMP-P088-2,P088,2025-05-17,2025-08-03,PROMO_03,AppPush,10
CMP-P088-3,P088,2026-01-10,2026-04-08,PROMO_08,Percent,25
CMP-P089-1,P089,2025-05-09,2025-07-30,PROMO_04,Bundle,10
CMP-P089-2,P089,2025-09-04,2025-10-30,PROMO_01,Percent,20
CMP-P089-3,P089,2026-01-02,2026-03-09,PROMO_07,AppPush,15
CMP-P090-1,P090,2025-01-01,2025-02-22,PROMO_02,Seasonal,10
CMP-P090-2,P090,2026-01-06,2026-04-04,PROMO_07,Percent,10
CMP-P090-3,P090,2026-05-10,2026-07-20,PROMO_08,Seasonal,25
CMP-P091-1,P091,2025-01-03,2025-03-30,PROMO_01,Percent,5
CMP-P091-2,P091,2025-09-03,2025-11-08,PROMO_03,Seasonal,10
CMP-P091-3,P091,2026-01-10,2026-03-22,PROMO_06,Seasonal,10
CMP-P092-1,P092,2025-05-16,2025-07-24,PROMO_08,Percent,10
CMP-P092-2,P092,2026-01-03,2026-02-11,PROMO_04,Percent,15
CMP-P092-3,P092,2026-05-08,2026-07-16,PROMO_08,Seasonal,10
CMP-P093-1,P093,2025-01-04,2025-03-13,PROMO_03,Percent,20
CMP-P093-2,P093,2026-01-04,2026-03-17,PROMO_02,Bundle,25
CMP-P093-3,P093,2026-05-05,2026-07-21,PROMO_06,Seasonal,5
CMP-P094-1,P094,2025-09-02,2025-11-08,PROMO_04,AppPush,15
CMP-P094-2,P094,2026-01-01,2026-03-04,PROMO_08,Bundle,10
CMP-P094-3,P094,2026-05-18,2026-06-27,PROMO_04,AppPush,15
CMP-P095-1,P095,2025-05-11,2025-06-28,PROMO_02,AppPush,20
CMP-P095-2,P095,2025-09-12,2025-10-19,PROMO_05,Seasonal,5
CMP-P095-3,P095,2026-05-09,2026-07-10,PROMO_08,Bundle,15
CMP-P096-1,P096,2025-01-12,2025-03-29,PROMO_07,Seasonal,15
CMP-P096-2,P096,2025-09-09,2025-11-18,PROMO_02,Seasonal,20
CMP-P096-3,P096,2026-05-12,2026-07-02,PROMO_03,Bundle,20
CMP-P097-1,P097,2025-09-07,2025-11-13,PROMO_04,AppPush,25
CMP-P097-2,P097,2026-01-07,2026-03-10,PROMO_01,AppPush,15
CMP-P097-3,P097,2026-05-09,2026-07-12,PROMO_02,AppPush,20
CMP-P098-1,P098,2025-01-12,2025-02-22,PROMO_06,Percent,25
CMP-P098-2,P098,2025-05-14,2025-07-02,PROMO_05,Percent,5
CMP-P098-3,P098,2026-05-18,2026-08-05,PROMO_02,Bundle,5
CMP-P099-1,P099,2025-05-16,2025-07-30,PROMO_07,Percent,20
CMP-P099-2,P099,2026-01-16,2026-03-01,PROMO_07,Bundle,20
CMP-P099-3,P099,2026-05-09,2026-07-27,PROMO_02,Bundle,10
CMP-P100-1,P100,2025-01-10,2025-03-31,PROMO_06,Percent,5
CMP-P100-2,P100,2025-05-08,2025-07-08,PROMO_02,Seasonal,15
CMP-P100-3,P100,2026-05-14,2026-06-23,PROMO_07,Percent,15
CMP-P101-1,P101,2025-05-07,2025-06-20,PROMO_02,Percent,15
CMP-P101-2,P101,2026-01-07,2026-03-04,PROMO_06,Percent,25
CMP-P101-3,P101,2026-05-14,2026-06-27,PROMO_03,Percent,10
CMP-P102-1,P102,2025-01-06,2025-03-29,PROMO_03,Seasonal,10
CMP-P102-2,P102,2025-05-10,2025-07-25,PROMO_01,Seasonal,10
CMP-P102-3,P102,2026-05-09,2026-07-17,PROMO_06,Percent,25
CMP-P103-1,P103,2025-05-17,2025-08-05,PROMO_08,AppPush,20
CMP-P103-2,P103,2025-09-07,2025-11-06,PROMO_07,Percent,20
CMP-P103-3,P103,2026-01-01,2026-03-08,PROMO_04,Bundle,15
CMP-P104-1,P104,2025-05-10,2025-07-19,PROMO_07,Seasonal,5
CMP-P104-2,P104,2025-09-13,2025-10-30,PROMO_02,Seasonal,5
CMP-P104-3,P104,2026-01-16,2026-04-03,PROMO_08,AppPush,25
CMP-P105-1,P105,2025-01-08,2025-03-25,PROMO_03,Seasonal,20
CMP-P105-2,P105,2026-01-12,2026-04-08,PROMO_04,Bundle,25
CMP-P105-3,P105,2026-05-11,2026-07-18,PROMO_03,Percent,5
CMP-P106-1,P106,2025-01-18,2025-04-05,PROMO_04,Percent,25
CMP-P106-2,P106,2026-01-01,2026-03-14,PROMO_06,Percent,20
CMP-P106-3,P106,2026-05-04,2026-06-20,PROMO_07,Seasonal,10
CMP-P107-1,P107,2025-09-13,2025-12-11,PROMO_07,Bundle,10
CMP-P107-2,P107,2026-01-18,2026-03-09,PROMO_03,Seasonal,15
CMP-P107-3,P107,2026-05-05,2026-06-09,PROMO_04,Seasonal,15
CMP-P108-1,P108,2025-05-14,2025-07-19,PROMO_04,AppPush,25
CMP-P108-2,P108,2025-09-16,2025-11-01,PROMO_06,Percent,15
CMP-P108-3,P108,2026-01-11,2026-03-06,PROMO_08,Seasonal,5
CMP-P109-1,P109,2025-01-15,2025-04-02,PROMO_01,Percent,10
CMP-P109-2,P109,2026-01-07,2026-03-24,PROMO_02,Bundle,10
CMP-P109-3,P109,2026-05-04,2026-06-17,PROMO_02,AppPush,15
CMP-P110-1,P110,2025-05-12,2025-07-26,PROMO_06,Percent,25
CMP-P110-2,P110,2026-01-03,2026-03-01,PROMO_06,Bundle,10
CMP-P110-3,P110,2026-05-17,2026-06-24,PROMO_02,Seasonal,20
CMP-P111-1,P111,2025-01-09,2025-02-20,PROMO_02,Percent,5
CMP-P111-2,P111,2026-01-08,2026-03-09,PROMO_02,Bundle,5
CMP-P111-3,P111,2026-05-15,2026-06-30,PROMO_08,AppPush,25
CMP-P112-1,P112,2025-05-05,2025-06-24,PROMO_02,Percent,25
CMP-P112-2,P112,2026-01-10,2026-03-08,PROMO_08,Percent,15
CMP-P112-3,P112,2026-05-16,2026-07-24,PROMO_04,Bundle,5
CMP-P113-1,P113,2025-01-15,2025-02-27,PROMO_02,Bundle,25
CMP-P113-2,P113,2026-01-12,2026-04-03,PROMO_02,Seasonal,5
CMP-P113-3,P113,2026-05-05,2026-07-07,PROMO_01,Seasonal,25
CMP-P114-1,P114,2025-01-14,2025-03-23,PROMO_02,Percent,20
CMP-P114-2,P114,2025-05-03,2025-07-28,PROMO_01,AppPush,25
CMP-P114-3,P114,2026-01-08,2026-02-15,PROMO_08,Percent,15
CMP-P115-1,P115,2025-01-14,2025-03-24,PROMO_03,Bundle,5
CMP-P115-2,P115,2025-09-18,2025-11-05,PROMO_03,AppPush,20
CMP-P115-3,P115,2026-01-10,2026-03-13,PROMO_05,Seasonal,10
CMP-P116-1,P116,2025-09-05,2025-11-21,PROMO_06,Bundle,20
CMP-P116-2,P116,2026-01-05,2026-03-09,PROMO_07,Percent,10
CMP-P116-3,P116,2026-05-15,2026-07-13,PROMO_08,Percent,20
