product_id,category,brand_code,base_price,unit_cost,launch_date,active
P067,Accessories,BRAND_03,2503.94,1660.42,2024-01-26,True
P068,Kitchen,BRAND_07,722.7,592.61,2025-07-02,True
P069,Electronics,BRAND_05,4884.52,1170.49,2025-03-11,True
P070,Kitchen,BRAND_06,1794.5,647.24,2024-01-10,True
P071,Stationery,BRAND_13,6096.87,2043.63,2024-03-17,True
P072,Home,BRAND_12,1657.39,1359.06,2024-12-29,True
P073,Kitchen,BRAND_11,903.2,740.62,2025-08-01,True
P074,Electronics,BRAND_07,5422.5,1587.82,2025-10-22,True
P075,Stationery,BRAND_18,1097.95,900.32,2024-12-11,True
P076,Kitchen,BRAND_02,1263.73,1036.26,2024-08-24,True
P077,Home,BRAND_07,3944.06,1637.19,2026-02-13,True
P078,Home,BRAND_03,5699.71,2902.12,2025-01-01,True
P079,Fitness,BRAND_07,1373.25,1126.06,2024-09-09,True
P080,Stationery,BRAND_18,2099.87,1721.89,2024-12-19,True
P081,Accessories,BRAND_07,5079.84,3854.52,2024-01-10,True
P082,Kitchen,BRAND_17,6320.25,2056.16,2024-08-29,True
P083,Electronics,BRAND_09,3314.73,1426.13,2025-02-16,False
P084,Stationery,BRAND_13,1038.07,851.22,2026-01-04,True
P085,Fitness,BRAND_09,208.91,171.31,2025-08-13,True
P086,Stationery,BRAND_05,1585.21,1299.87,2025-09-17,True
P087,Electronics,BRAND_14,961.03,788.04,2025-03-11,True
P088,Home,BRAND_18,4443.46,2270.14,2024-03-29,True
P089,Stationery,BRAND_05,897.29,735.78,2024-11-08,True
P090,Stationery,BRAND_15,3350.38,1260.08,2026-03-08,True
P091,Kitchen,BRAND_05,4549.39,3105.11,2024-02-05,True
P092,Stationery,BRAND_13,3827.52,905.93,2025-12-04,True
P093,Accessories,BRAND_15,1394.57,1143.55,2025-07-01,True
P094,Kitchen,BRAND_09,5250.31,3624.77,2024-08-15,True
P095,Accessories,BRAND_14,4684.3,615.58,2025-09-14,True
P096,Home,BRAND_05,4834.72,2607.39,2025-10-31,True
P097,Home,BRAND_02,956.15,462.75,2024-02-04,True
P098,Stationery,BRAND_02,909.55,745.83,2024-03-26,True
P099,Fitness,BRAND_09,6037.85,418.96,2025-06-16,True
P100,Electronics,BRAND_17,2656.55,2178.37,2026-03-10,True
P101,Stationery,BRAND_03,2040.05,637.49,2024-01-20,True
P102,Home,BRAND_09,3237.17,2654.48,2025-06-16,True
P103,Stationery,BRAND_13,4349.07,3377.65,2024-04-19,True
P104,Electronics,BRAND_04,6216.88,2521.91,2025-06-04,True
P105,Stationery,BRAND_13,1947.53,1596.97,2025-05-13,True
P106,Stationery,BRAND_06,6020.28,3353.82,2024-03-13,True
P107,Stationery,BRAND_15,278.6,228.45,2025-06-28,False
P108,Fitness,BRAND_11,3662.16,1116.47,2025-12-18,False
P109,Kitchen,BRAND_10,4164.76,2507.01,2025-11-21,True
P110,Stationery,BRAND_04,795.63,462.55,2024-01-24,True
P111,Home,BRAND_09,1015.37,832.6,2024-07-15,True
P112,Stationery,BRAND_16,2793.95,777.43,2024-07-11,True
P113,Fitness,BRAND_01,6284.56,2403.25,2024-12-28,True
P114,Kitchen,BRAND_14,3922.75,2434.14,2024-04-24,True
P115,Fitness,BRAND_09,6072.69,1994.52,2025-11-14,True
P116,Fitness,BRAND_13,5251.82,2228.47,2025-09-13,True
P117,Electronics,BRAND_12,3101.89,2543.55,2025-10-08,True
P118,Electronics,BRAND_08,5126.79,3370.88,2024-06-07,True
P119,Home,BRAND_06,233.8,191.72,2024-01-12,True
P120,Electronics,BRAND_12,816.34,669.4,2025-12-29,True
