order_id,order_date_raw,order_timestamp_raw,store_id,product_id,channel_raw,payment_raw,quantity,unit_price_raw,discount_pct,shipping_days,rating,returned_raw,status_raw,customer_segment,promo_code,tags
ORD-0000024,"May 05, 2025",05/05/2025 10:53:24,S13,P015,Web,UPI,4,Rs.4347.24,25.0,3.0,,No,Completed,Premium,SAVE5,
ORD-0000025,2025-01-11,2025-01-11 09:05:46,S04,P020,App,UPI,1,INR 738.06,15.0,7.0,4.2,No,Shipped,Regular,NONE,express
ORD-0000026,05/07/2026,05/07/2026 10:11:49,S12,P092,Web,COD,2,3776.41,25.0,9.0,5.0,Y,Processing,New,FESTIVE,bulk|priority
ORD-0000027,"Jun 04, 2026",2026-06-04 17:13:39,S05,P017,Store,UPI,2, 6467 ,15.0,3.0,3.9,No,Completed,Regular,FESTIVE,
ORD-0000028,2026-05-19,19/05/2026 11:05:01,S02,P025,App,Card,2,Rs.3227.04,20.0,8.0,5.0,Y,Shipped,Regular,FESTIVE,
ORD-0000029,06/02/2025,2025-02-06 11:26:22,S23,P108,Web,COD,1,INR 3515.85,10.0,5.0,3.9,No,Completed,Regular,NONE,express
ORD-0000030,"Aug 05, 2025",05/08/2025 10:52:25,S10,P012,App,COD,5,6041.91,15.0,5.0,5.0,No,Completed,Regular,FESTIVE,sale|app
ORD-0000031,2026-08-26,2026-08-26 20:20:10,S20,P076,web, upi ,4, 1289 ,25.0,0.0,4.6,No,Shipped,Regular,APPONLY,express
ORD-0000032,25/12/2025,25/12/2025 20:26:25,S06,P083,App,UPI,4,Rs.3090.13,0.0,2.0,3.5,No,Completed,Regular,APPONLY,express
ORD-0000033,"Mar 21, 2025",2025-03-21 19:16:22,S04,P011,Web,card,1,INR 1249.78,0.0,3.0,3.3,Yes,Completed,Regular,NONE,
ORD-0000034,2025-03-29,29/03/2025 08:16:35,S15,P066,Web,Card,4,4515.53,5.0,0.0,3.8,No,Cancelled,Premium,NONE,
ORD-0000035,13/06/2025,2025-06-13 11:30:18,S06,P050,web,Wallet,4, 5793 ,15.0,3.0,3.8,Yes,Completed,New,NONE,gift
ORD-0000036,"Aug 26, 2026",26/08/2026 20:19:21,S24,P053,Web,COD,4,Rs.1633.52,0.0,6.0,2.4,No,Completed,Regular,NONE,
ORD-0000037,2025-04-16,2025-04-16 15:45:52,S06,P039, WEB ,card,3,INR 4744.44,10.0,3.0,4.5,No,Processing,New,FESTIVE,express
ORD-0000038,14/07/2026,14/07/2026 08:34:24,S19,P007,App,UPI,4,2258.15,10.0,5.0,,No,Shipped,Premium,NONE,
ORD-0000039,"Feb 25, 2026",2026-02-25 11:29:11,S05,P061,Store,UPI,2, 5520 ,10.0,3.0,3.9,No,Completed ,Regular,NONE,express
ORD-0000040,2026-07-26,26/07/2026 19:34:44,S22,P002,App,COD,1,Rs.4747.02,10.0,7.0,3.2,No,Shipped,New,BULK10,sale|app
ORD-0000041,28/05/2026,2026-05-28 20:18:15,S17,P051,STORE ,Card,1,INR 2413.38,10.0,3.0,4.7,No,Completed ,New,NONE,express
ORD-0000042,"Jul 25, 2025",25/07/2025 13:57:10,S12,P050,Store,Card,1,7939.04,25.0,7.0,4.4,Y,Completed,Regular,NONE,
ORD-0000043,2026-05-29,2026-05-29 10:07:45,,P073,web,Card,5, 874 ,20.0,4.0,4.4,No,Completed,Regular,NONE,gift|express
ORD-0000044,15/04/2025,15/04/2025 09:04:14,S02,P073,Store,Card,2,Rs.868.38,10.0,5.0,,No,Shipped,Business,NONE,
ORD-0000045,"Jun 30, 2025",2025-06-30 11:09:00,S13,P091,Web,UPI,4,INR 4260.75,20.0,3.0,3.5,No,Completed,New,FESTIVE,sale|app
ORD-0000046,2025-05-12,12/05/2025 19:11:06,S06,P106,web,UPI,4,6452.92,30.0,5.0,4.8,No,Completed,Regular,NONE,gift|express
ORD-0000047,24/03/2025,2025-03-24 19:34:44,S10,P062,App,,2, 5427 ,5.0,1.0,3.7,No,Processing,New,APPONLY,new|web
ORD-0000048,"Feb 25, 2025",25/02/2025 11:35:15,S12,P072,Store,UPI,2,Rs.1736.78,25.0,4.0,3.5,No,Processing,Premium,NONE,gift
ORD-0000049,2025-04-27,2025-04-27 21:40:23,S04,P063,Web,UPI,3,INR 3589.97,25.0,4.0,3.3,No,CANCELLED,New,APPONLY,new|web
ORD-0000050,16/03/2025,16/03/2025 20:17:30,S09,P059,App,Wallet,4,6356.10,0.0,4.0,3.8,N,Shipped,Regular,APPONLY,
ORD-0000051,"Aug 24, 2025",2025-08-24 21:49:16,S05,P072,Web,UPI,3, 1778 ,30.0,3.0,,N,Completed,Premium,FESTIVE,express
ORD-0000052,2025-02-14,14/02/2025 18:31:11,S12,P022,Web,UPI,3,Rs.3346.93,20.0,3.0,5.0,No,Shipped,New,FESTIVE,sale|app
ORD-0000053,07/02/2025,2025-02-07 16:01:04,S15,P004,Store,Card,4,INR 2706.25,15.0,3.0,3.6,No,Shipped,Regular,NONE,
ORD-0000054,"Sep 06, 2026",06/09/2026 21:44:04,S21,P019,Web, upi ,5,5474.23,5.0,3.0,5.0,Yes,Completed,Business,NONE,gift|express
ORD-0000055,2025-02-24,2025-02-24 17:38:54,S05,P021, APP,Card,5, 3619 ,25.0,4.0,4.7,N,Completed,Regular,BULK10,gift|express
ORD-0000056,15/02/2025,15/02/2025 19:38:59,S01,P074,App,UPI,4,Rs.5527.01,15.0,8.0,4.0,No,Shipped,New,NONE,
ORD-0000057,"Jan 19, 2025",2025-01-19 13:38:38,S15,P013,App,COD,2,INR 3924.51,15.0,4.0,5.0,No,Processing,Regular,SAVE5,gift|express
ORD-0000058,2025-03-24,24/03/2025 11:22:27,S06,P043, WEB ,COD,2,1415.99,10.0,6.0,4.4,No,Processing,New,NONE,
ORD-0000059,24/11/2025,2025-11-24 16:01:48,S13,P013,App,UPI,1, 3608 ,30.0,5.0,3.8,No,CANCELLED,Premium,NONE,express
ORD-0000060,"May 28, 2026",28/05/2026 13:43:49,S24,P019,Web,COD,3,Rs.4840.68,10.0,10.0,,No,Completed,New,FESTIVE,
ORD-0000061,2026-04-01,2026-04-01 12:54:26,S10,P078,web,UPI,2,INR 5475.17,5.0,6.0,5.0,No,Shipped,Regular,FESTIVE,
ORD-0000062,26/12/2025,26/12/2025 17:45:44,S15,P048,App,Card,5,5995.41,0.0,6.0,2.3,No,Shipped,Premium,BULK10,bulk|priority
ORD-0000063,"Feb 22, 2025",2025-02-22 16:32:05,S22,P098,STORE ,UPI,5, 880 ,10.0,4.0,,No,Processing,Premium,NONE,
ORD-0000064,2026-04-26,26/04/2026 12:25:09,S09,P089, WEB ,Card,2,Rs.914.33,5.0,6.0,4.4,No,Processing,New,NONE,express
ORD-0000065,24/01/2025,2025-01-24 11:22:50,S04,P030,Store,UPI,4,INR 256.64,0.0,5.0,5.0,No,Completed,New,SAVE5,new|web
ORD-0000066,"Jan 27, 2026",27/01/2026 15:39:30,S05,P010,web,Card,2,4062.76,20.0,5.0,4.1,N,Completed,Regular,BULK10,gift
ORD-0000067,2025-09-11,2025-09-11 12:34:48,S01,P116,App,Card,4, 5042 ,25.0,8.0,4.0,No,Completed,New,NONE,bulk|priority
ORD-0000068,01/07/2026,01/07/2026 11:19:34,S11,P016,Store,UPI,4,Rs.234.77,25.0,3.0,4.0,No,Shipped,Regular,NONE,
ORD-0000069,"Jul 10, 2025",2025-07-10 11:06:07,S20,P082,Store,Card,1,INR 6860.70,10.0,6.0,,Yes,Processing,New,NONE,new|web
ORD-0000070,2026-01-31,31/01/2026 17:16:09,S20,P071,STORE ,Wallet,3,6269.15,0.0,1.0,4.5,No,Completed,New,FESTIVE,express
ORD-0000071,30/09/2025,2025-09-30 13:48:31,S06,P099,Store,UPI,1, 6514 ,5.0,6.0,,Y,Completed,New,FESTIVE,express
ORD-0000072,"Nov 20, 2025",20/11/2025 12:47:06,S24,P067,Web,UPI,2,Rs.2729.73,10.0,5.0,2.3,No,Completed,Business,SAVE5,
ORD-0000073,2026-08-06,2026-08-06 09:36:50,S11,P001,App,Card,2,INR 3605.21,0.0,5.0,3.8,No,Shipped,Regular,APPONLY,gift|express
ORD-0000074,18/03/2026,18/03/2026 08:46:15,S07,P019,STORE ,card,3,5229.48,5.0,6.0,5.0,N,CANCELLED,Premium,FESTIVE,gift|express
ORD-0000075,"Sep 15, 2025",2025-09-15 17:43:41,S04,P100,Store,UPI,1, 2500 ,15.0,7.0,5.0,N,Shipped,Premium,NONE,gift
ORD-0000076,2025-10-05,05/10/2025 21:32:15,S20,P073,web,Card,2,Rs.740.81,30.0,4.0,4.9,No,Completed,Regular,NONE,gift|express
ORD-0000077,13/03/2026,2026-03-13 12:32:46,S21,P093,Web,UPI,2,INR 1333.96,0.0,4.0,,Yes,CANCELLED,New,NONE,express
ORD-0000078,"Aug 03, 2025",03/08/2025 19:48:16,S01,P076,Store,Card,1,1190.93,5.0,5.0,,No,Processing,Regular,BULK10,
ORD-0000079,2025-04-15,2025-04-15 16:25:31,S15,P118,Store,Card,1, 5441 ,20.0,3.0,4.6,No,Shipped,Regular,FESTIVE,express
ORD-0000080,17/10/2025,17/10/2025 12:15:15,S19,P010,Store,COD,2,Rs.3801.66,30.0,5.0,3.9,No,Completed,New,NONE,
ORD-0000081,"Feb 12, 2025",2025-02-12 15:56:52,S24,P010,App,UPI,5,INR 4073.56,0.0,4.0,4.6,N,Completed,Regular,APPONLY,
ORD-0000082,2025-04-16,16/04/2025 09:48:32,S21,P088,Web,UPI,2,4670.10,0.0,6.0,4.3,No,Shipped,Regular,BULK10,bulk|priority
ORD-0000083,18/09/2025,2025-09-18 12:43:31,S12,P006,Store,UPI,2, 2964 ,0.0,4.0,4.9,No,Completed,New,FESTIVE,sale|app
ORD-0000084,"May 09, 2026",09/05/2026 18:17:17,S08,P014,web,COD,4,Rs.2136.45,25.0,4.0,,No,Completed,Business,APPONLY,gift
ORD-0000085,2026-04-30,2026-04-30 19:54:10,S24,P088,Web,Card,2,INR 4600.75,15.0,5.0,3.3,Yes,Completed,New,APPONLY,new|web
ORD-0000086,11/06/2025,11/06/2025 11:05:46,S17,P092,Store, upi ,1,3435.46,20.0,1.0,5.0,No,Cancelled,Regular,APPONLY,express
ORD-0000087,"Sep 19, 2025",2025-09-19 20:45:03,S07,P102,Store,Card,3, 3042 ,5.0,3.0,,No,Completed,Premium,NONE,express
ORD-0000088,2025-04-06,06/04/2025 16:28:03,S24,P030,Store,UPI,3,Rs.280.74,25.0,7.0,4.6,No,Completed,New,SAVE5,
ORD-0000089,14/04/2026,2026-04-14 11:12:39,S12,P081,STORE ,Card,4,INR 5018.93,15.0,0.0,2.5,No,Completed,Regular,NONE,
ORD-0000090,"Jun 02, 2025",02/06/2025 18:54:37,S16,P028, WEB ,card,3,2894.38,15.0,5.0,4.5,No,Completed,Regular,SAVE5,gift|express
ORD-0000091,2026-05-11,2026-05-11 20:20:19,S12,P120,App,Card,4, 724 ,0.0,6.0,4.2,Yes,Completed ,Regular,NONE,sale|app
ORD-0000092,07/06/2026,07/06/2026 11:48:46,S15,P081,Store,UPI,5,Rs.5572.81,10.0,3.0,2.7,Y,Completed,Regular,SAVE5,sale|app
ORD-0000093,"Mar 04, 2026",2026-03-04 09:28:03,S12,P093,Web,COD,3,INR 1468.01,10.0,4.0,4.0,No,Completed,New,NONE,
ORD-0000094,2025-07-24,24/07/2025 11:59:26,S02,P080,App,card,2,2010.30,10.0,,,Y,CANCELLED,New,NONE,express
ORD-0000095,14/08/2026,2026-08-14 18:35:54,S14,P119,App,Wallet,1, 238 ,5.0,5.0,,No,Completed,Regular,FESTIVE,gift
ORD-0000096,"Mar 02, 2026",02/03/2026 08:51:19,S06,P033,App,COD,1,Rs.1089.35,25.0,3.0,4.7,No,Completed,Business,NONE,
ORD-0000097,2026-02-05,2026-02-05 12:02:47,S02,P092,web,UPI,5,INR 3547.56,0.0,4.0,4.9,No,Completed,Business,NONE,express
ORD-0000098,15/06/2026,15/06/2026 12:28:18,S07,P116,Web,Card,5,5449.96,0.0,4.0,5.0,N,Cancelled,Regular,NONE,gift|express
ORD-0000099,"Jul 01, 2026",2026-07-01 08:14:13,S21,P026,App,UPI,3, 1698 ,30.0,6.0,4.5,No,Completed,Business,NONE,gift|express
ORD-0000100,2025-02-18,18/02/2025 16:21:19,S04,P047,Store,Wallet,3,Rs.5604.34,20.0,3.0,2.7,No,Completed,Regular,SAVE5,bulk|priority
ORD-0000101,01/07/2026,2026-07-01 19:17:17,S18,P085,Store,Wallet,5,INR 226.86,25.0,5.0,3.3,No,Completed,New,SAVE5,
ORD-0000102,"Apr 20, 2026",20/04/2026 10:10:07,S03,P049,web,Card,2,2350.33,10.0,1.0,4.3,No,Completed,Regular,NONE,gift|express
ORD-0000103,2025-05-09,2025-05-09 20:24:54,S14,P085,App,card,4, 206 ,20.0,1.0,5.0,No,Cancelled,Regular,BULK10,gift
ORD-0000104,10/07/2025,10/07/2025 21:20:34,S22,P025,App,Card,1,Rs.3325.97,30.0,3.0,3.2,Yes,Completed ,New,SAVE5,gift
ORD-0000105,"Apr 12, 2026",2026-04-12 20:11:57,S10,P010,App,Card,5,INR 4018.59,20.0,4.0,,No,Completed,Regular,NONE,gift
ORD-0000106,2025-05-15,15/05/2025 18:06:37,S05,P007,Store,UPI,1,2126.04,25.0,5.0,4.8,No,Shipped,Premium,APPONLY,express
ORD-0000107,08/10/2025,2025-10-08 14:16:53,S08,P023,App,UPI,5, 5472 ,10.0,1.0,3.8,No,Completed,New,NONE,
ORD-0000108,"Mar 04, 2026",04/03/2026 10:51:23,S21,P099,App,UPI,5,Rs.6661.76,0.0,5.0,3.6,No,Completed,New,FESTIVE,gift|express
ORD-0000109,2026-02-08,2026-02-08 20:46:11,S22,P082,Web,UPI,4,INR 6309.37,0.0,5.0,4.1,No,Completed,Regular,NONE,express
ORD-0000110,19/07/2026,19/07/2026 15:25:57,S23,P041,App,Wallet,5,792.56,5.0,0.0,4.9,No,Shipped,Regular,SAVE5,sale|app
ORD-0000111,"Mar 11, 2025",2025-03-11 14:19:49,S05,P081,web,Card,2, 5294 ,25.0,2.0,5.0,No,Completed,Regular,BULK10,gift
ORD-0000112,2025-07-02,02/07/2025 13:28:54,S10,P059,App,Card,2,Rs.6796.66,30.0,2.0,3.4,No,Shipped,Premium,BULK10,bulk|priority
ORD-0000113,03/09/2026,2026-09-03 11:03:55,S09,P022,App,card,3,INR 2712.72,25.0,1.0,,No,Completed,Business,FESTIVE,
ORD-0000114,"Dec 19, 2025",19/12/2025 13:21:17,S07,P095,Web,UPI,5,5396.88,15.0,0.0,,No,Completed,Regular,NONE,
ORD-0000115,2025-06-04,2025-06-04 19:10:32,S07,P005,App,UPI,3, 382 ,5.0,8.0,,No,Completed,Business,APPONLY,
ORD-0000116,29/06/2025,29/06/2025 15:50:43,S20,P013,web,card,4,Rs.3859.39,20.0,2.0,5.0,No,Completed,Premium,NONE,express
ORD-0000117,"Jul 30, 2025",2025-07-30 13:32:52,S02,P032,STORE ,Card,1,INR 5382.24,25.0,,4.5,No,CANCELLED,New,NONE,gift
ORD-0000118,2025-12-10,10/12/2025 09:30:06,S24,P075,Web,UPI,1,959.27,10.0,5.0,,Yes,Processing,Regular,BULK10,
ORD-0000119,26/06/2025,2025-06-26 13:48:55,S19,P043,Web,COD,1, 1647 ,25.0,3.0,4.0,No,Completed,Regular,APPONLY,bulk|priority
ORD-0000120,"Jan 21, 2026",21/01/2026 11:00:45,S04,P044,web,UPI,1,Rs.348.77,10.0,4.0,4.9,No,Completed,Premium,NONE,
ORD-0000121,2025-10-04,2025-10-04 13:34:28,S14,P065,Web,UPI,5,INR 4805.60,20.0,6.0,3.3,Yes,Completed,New,FESTIVE,sale|app
ORD-0000122,14/01/2026,14/01/2026 10:05:44,S09,P101,STORE ,UPI,4,1897.52,25.0,1.0,4.7,No,Shipped,New,APPONLY,new|web
ORD-0000123,"Apr 07, 2025",2025-04-07 21:16:16,S06,P040,web,COD,3, 4288 ,10.0,1.0,5.0,N,Completed,Business,NONE,gift|express
ORD-0000124,2026-01-22,22/01/2026 10:26:21,S19,P047,STORE ,UPI,3,Rs.5351.71,25.0,4.0,5.0,Yes,Cancelled,New,NONE,
ORD-0000125,28/07/2026,2026-07-28 09:44:11,S10,P005,App,COD,1,INR 389.51,,,5.0,No,Completed,New,SAVE5,gift
ORD-0000126,"Mar 25, 2025",25/03/2025 17:10:23,S01,P115,App,Card,4,6413.49,10.0,3.0,3.7,N,Completed,New,APPONLY,sale|app
ORD-0000127,2025-07-23,2025-07-23 12:48:18,S09,P102,Store,COD,3, 3296 ,20.0,2.0,,No,Completed,Premium,APPONLY,gift
ORD-0000128,06/03/2026,06/03/2026 21:56:35,S10,P045,App,COD,5,Rs.3670.88,25.0,3.0,5.0,No,Completed,New,BULK10,
ORD-0000129,"Jan 18, 2026",2026-01-18 13:39:26,S08,P102,App,Card,5,INR 2954.32,25.0,2.0,3.1,No,Completed,New,NONE,
ORD-0000130,2026-02-23,23/02/2026 17:06:16,S03,P004,Web,card,3,2977.73,30.0,4.0,4.5,No,Completed,Regular,FESTIVE,sale|app
ORD-0000131,13/12/2025,2025-12-13 19:40:23,S17,P009,Store,card,2, 757 ,20.0,0.0,5.0,No,Shipped,Premium,NONE,new|web
ORD-0000132,"Feb 28, 2026",28/02/2026 21:47:34,S20,P066,Web,COD,1,Rs.4410.17,30.0,3.0,5.0,No,Completed,Premium,NONE,new|web
ORD-0000133,2026-01-13,2026-01-13 19:20:47,S22,P067,App,UPI,5,INR 2357.83,20.0,3.0,3.4,No,Completed,Business,SAVE5,
ORD-0000134,15/02/2025,15/02/2025 16:04:53,S07,P016,Store,COD,4,284.09,15.0,4.0,3.7,No,Completed,Regular,BULK10,
ORD-0000135,"Apr 11, 2026",2026-04-11 19:24:15,S13,P062, APP,UPI,3, 6386 ,20.0,1.0,4.5,No,Shipped,Premium,NONE,
ORD-0000136,2025-10-05,05/10/2025 11:57:26,S15,P017,App,COD,4,Rs.5942.81,15.0,3.0,2.9,No,Completed,Regular,FESTIVE,new|web
ORD-0000137,01/02/2025,2025-02-01 20:10:42,S05,P055, WEB ,UPI,1,INR 1320.71,0.0,0.0,2.8,No,Completed,New,BULK10,
ORD-0000138,"Sep 11, 2025",11/09/2025 20:12:12,S14,P058,Store,UPI,4,6966.27,0.0,7.0,3.9,No,Completed,New,FESTIVE,bulk|priority
ORD-0000139,2025-09-27,2025-09-27 13:22:44,S09,P025,App,COD,3, 3657 ,0.0,3.0,5.0,No,Cancelled,Regular,APPONLY,bulk|priority
ORD-0000140,23/02/2025,23/02/2025 08:56:33,S23,P035, WEB ,COD,1,Rs.900.89,10.0,3.0,3.8,No,Completed,Regular,NONE,express
ORD-0000141,"Sep 10, 2026",2026-09-10 17:35:08,S18,P062,Store,Card,3,INR 5834.66,20.0,5.0,,Yes,Completed,Premium,NONE,
ORD-0000142,2025-05-18,18/05/2025 09:26:39,S02,P066,STORE ,Wallet,5,3920.29,15.0,5.0,5.0,No,CANCELLED,Premium,FESTIVE,gift
ORD-0000143,25/07/2025,2025-07-25 08:14:09,S07,P118,App,UPI,3, 5312 ,0.0,5.0,4.6,No,Processing,New,APPONLY,
ORD-0000144,"Oct 01, 2025",01/10/2025 21:16:31,S12,P080,Web,UPI,5,Rs.1832.84,20.0,5.0,4.7,No,Completed,Premium,FESTIVE,gift|express
ORD-0000145,2026-06-01,2026-06-01 15:56:18,S02,P091,App,Card,1,INR 4925.27,20.0,5.0,,No,Completed,Premium,BULK10,express
ORD-0000146,06/04/2026,06/04/2026 17:06:01,S22,P109,App,Card,1,4253.70,25.0,3.0,2.8,Yes,Completed,New,BULK10,
ORD-0000147,"Apr 23, 2026",2026-04-23 20:19:40,S22,P046,Store,Card,3, 2382 ,10.0,0.0,,No,CANCELLED,Regular,APPONLY,
ORD-0000148,2025-05-27,27/05/2025 21:00:40,S13,P035,App,UPI,5,Rs.799.28,10.0,8.0,2.2,Yes,Completed,Premium,NONE,express
ORD-0000149,09/06/2026,2026-06-09 21:23:16,S08,P071,Web,Card,3,INR 6758.19,20.0,6.0,5.0,Yes,Shipped,Premium,NONE,gift|express
ORD-0000150,"May 30, 2026",30/05/2026 09:51:02,S24,P062,Store,UPI,5,6024.93,30.0,5.0,,Yes,Shipped,Regular,SAVE5,
ORD-0000151,2025-10-15,2025-10-15 12:32:52,S04,P077,App,UPI,5, 3939 ,10.0,5.0,3.8,No,Completed,New,SAVE5,new|web
ORD-0000152,05/12/2025,05/12/2025 18:45:25,S06,P092,STORE ,UPI,5,Rs.3721.95,30.0,8.0,4.4,No,Completed,Business,NONE,gift
ORD-0000153,"Jan 24, 2025",2025-01-24 08:24:51,S15,P073,STORE ,UPI,5,INR 917.02,25.0,4.0,4.5,N,Shipped,Premium,BULK10,bulk|priority
ORD-0000154,2026-04-17,17/04/2026 11:17:24,S12,P070,Store,COD,2,1915.56,0.0,3.0,,Y,Completed,Business,NONE,
ORD-0000155,19/08/2026,2026-08-19 15:12:44,S05,P099,Store,UPI,1, 6299 ,0.0,5.0,4.1,No,Completed,Business,FESTIVE,sale|app
ORD-0000156,"Oct 20, 2025",20/10/2025 12:48:50,S20,P044,Web,Wallet,5,Rs.330.14,0.0,3.0,,Y,Cancelled,Regular,SAVE5,new|web
ORD-0000157,2025-12-02,2025-12-02 10:25:40,S12,P022,Web,Card,5,INR 3391.44,0.0,6.0,,No,Completed,Regular,SAVE5,gift
ORD-0000158,06/11/2025,06/11/2025 20:35:51,S11,P011,Store,card,3,1123.57,10.0,4.0,4.0,No,Shipped,Business,NONE,gift
ORD-0000159,"Feb 21, 2025",2025-02-21 14:16:03,S07,P021,Store,UPI,1, 3246 ,0.0,2.0,5.0,N,Processing,New,BULK10,sale|app
ORD-0000160,2026-01-20,20/01/2026 13:45:46,S07,P023,Web,card,1,Rs.5155.46,0.0,4.0,3.2,No,Completed,Premium,NONE,
ORD-0000161,24/03/2026,2026-03-24 17:12:43,S22,P054,App,Card,2,INR 5946.51,5.0,2.0,2.8,No,Shipped,Regular,APPONLY,express
ORD-0000162,"Jul 30, 2026",30/07/2026 17:23:49,S03,P005,Web,Card,2,367.72,15.0,3.0,,No,Completed,Regular,NONE,gift
ORD-0000163,2026-07-31,2026-07-31 14:53:38,S09,P093,Web, upi ,3, 1270 ,30.0,3.0,,Yes,Shipped,Regular,NONE,new|web
ORD-0000164,01/11/2025,01/11/2025 20:25:13,S21,P074,STORE ,Card,4,Rs.5280.25,0.0,3.0,,No,Completed,New,APPONLY,express
ORD-0000165,"Aug 18, 2026",2026-08-18 12:08:36,S22,P031, APP,Card,4,INR 5805.84,10.0,5.0,4.1,No,Cancelled,Regular,NONE,
ORD-0000166,2025-11-24,24/11/2025 20:11:42,S04,P061,App,UPI,4,5485.40,25.0,3.0,4.6,No,Completed,Regular,NONE,express
ORD-0000167,03/02/2026,2026-02-03 20:09:59,S13,P011,App,UPI,4, 1075 ,30.0,4.0,5.0,No,Shipped,Regular,NONE,new|web
ORD-0000168,"Jan 09, 2026",09/01/2026 08:07:44,S04,P036,App,UPI,4,Rs.4968.49,5.0,5.0,4.8,No,Completed,Regular,FESTIVE,gift|express
ORD-0000169,2026-09-12,2026-09-12 18:33:50,S23,P058,App,card,1,INR 6272.40,0.0,6.0,2.4,No,Shipped,Regular,FESTIVE,sale|app
ORD-0000170,03/04/2026,03/04/2026 10:12:46,S10,P114,web,UPI,4,4330.71,0.0,2.0,3.1,No,Completed ,Premium,NONE,sale|app
ORD-0000171,"Mar 16, 2025",2025-03-16 14:47:06,S19,P079,Web,card,2, 1268 ,0.0,2.0,,No,Completed,Regular,NONE,gift|express
ORD-0000172,2025-02-14,14/02/2025 20:51:47,S23,P061, APP,UPI,5,Rs.6312.89,10.0,7.0,4.7,No,Cancelled,New,APPONLY,express
ORD-0000173,12/09/2025,2025-09-12 10:44:42,S21,P120,Store,UPI,1,INR 874.22,5.0,,3.6,No,Completed ,Regular,SAVE5,sale|app
